,pat_id,asd,dice,hd,jc,vol_gt,vol_pred
0,Doubt_01-029_3.nii.gz,0.616163514799292,0.26540284360189575,3.7076308589464535,0.15300546448087432,0.01532440185546875,0.004154205322265625
1,Doubt_06-017_3.nii.gz,0.7232451788560458,0.6459770114942529,2.0,0.4770797962648557,0.044336731673764236,0.04515968725007541
2,Escape-01-005_3.nii.gz,0.6192444731155081,0.7676056338028169,1.4142135623730951,0.6228571428571429,0.02888229574892552,0.04275588759338756
3,Escape-01-026_3.nii.gz,0.48722505036833524,0.7444794952681388,1.4142135623730951,0.592964824120603,0.01967527570669162,0.02030589351780353
4,Escape-01-028_3.nii.gz,0.508251100153703,0.6797202797202797,2.23606797749979,0.5148305084745762,0.05940419780674201,0.030774149182261255
5,Escape-01-055_3.nii.gz,0.38419658019799197,0.7942122186495176,1.0,0.6586666666666666,0.03909830428893848,0.03935055141338324
6,Escape-03-012_3.nii.gz,0.25,0.23275862068965517,4.00867115396454,0.13170731707317074,0.037944793701171875,0.005420684814453125
7,Escape-06-002_4.nii.gz,0.7945429238453539,0.23068893528183715,9.241174072574013,0.13038348082595871,0.11061640292219818,0.020779150703921914
8,Escape-08-030_3.nii.gz,0.5843124233918898,0.60435038212816,3.0,0.43302443133951135,0.08059230200015008,0.038614224697463215
9,Escape-08-033_4.nii.gz,0.5701085445116294,0.7504621072088724,1.4142135623730951,0.6005917159763313,0.026259440769441426,0.03268810054287315
10,Escapena1_01-016+_4.nii.gz,0.9408300003194208,0.5184381778741866,2.8284271247461903,0.34992679355783307,0.07617863158231884,0.040107292786717534
11,Escapena1_01-082+_3.nii.gz,0.5054214908661122,0.5884861407249466,4.0,0.4169184290030212,0.0793317206378784,0.0389721807267161
12,Escapena1_02-012+_3.nii.gz,0.5197199228386837,0.5303370786516854,2.8284271247461903,0.36085626911314983,0.03892973541794345,0.02338584825466387
13,Escapena1_02-018_3.nii.gz,0.8713018554331718,0.6666666666666666,2.449489742783178,0.5,0.020365980148315428,0.029075116395950316
14,Escapena1_02-052+_4.nii.gz,0.6416084237098415,0.6546003016591252,2.23606797749979,0.48654708520179374,0.040183457537088546,0.03863793993950822
15,Escapena1_05-041+_4.nii.gz,0.44781242942004207,0.7644787644787645,1.4142135623730951,0.61875,0.025138448861514916,0.02153437017169199
16,Escapena1_07-012_4.nii.gz,0.7373754779423288,0.5447042640990372,3.7416573867739413,0.3742911153119093,0.08387819476239688,0.04436459722974305
17,Escapena1_08-007+_3.nii.gz,0.6972249739658554,0.6479481641468683,2.0,0.4792332268370607,0.07927410013509942,0.05871051776922776
18,Escapena1_13-001+_4.nii.gz,0.6349118029028972,0.6831955922865014,2.0,0.5188284518828452,0.016693695068359375,0.017737051010131837
19,Escapena1_14-027+_4.nii.gz,0.4930022850038019,0.7001733102253033,2.1770509831248424,0.5386666666666666,0.044405416992969224,0.04157419913100138
20,Escapena1_14-043_4.nii.gz,0.4264705882352941,0.6574257425742575,2.8284271247461903,0.4896755162241888,0.044405416992969224,0.03084537354880748
21,Escapena1_21-013+_4.nii.gz,0.3968253968253968,0.6373626373626373,2.0,0.46774193548387094,0.03993507300038843,0.027865144220420284
22,Escapena1_28-018_3.nii.gz,1.240490720640916,0.3561643835616438,3.0,0.21666666666666667,0.03137547302246094,0.018416038513183595
23,Escapena1_28-041_3.nii.gz,3.998049689912556,0.16129032258064516,7.3484692283495345,0.08771929824561403,0.07014149856567382,0.045685382843017576
24,Escapena1_30-011_4.nii.gz,0.5116865066323099,0.6457142857142857,2.0,0.4767932489451477,0.03203746528016236,0.020116547966613572
25,Escapena1_30-012_3.nii.gz,0.6809103988302492,0.6987951807228916,2.23606797749979,0.5370370370370371,0.036954843672001234,0.03725286660483995
26,Escapena1_40-014_4.nii.gz,6.846432836030001,0.23076923076923078,13.0,0.13043478260869565,0.039003464169272424,0.02700239827103476
27,Interrsect_01-009_3.nii.gz,0.6927742113408767,0.2608695652173913,3.605551275463989,0.15,0.010431671142578125,0.00443115234375
28,Interrsect_01-033_4.nii.gz,0.5067479649151567,0.6827133479212254,1.7320508075688772,0.5182724252491694,0.02123260498046875,0.020955657958984374
29,Interrsect_01-055_4.nii.gz,0.3373493975903614,0.6329113924050633,2.0,0.46296296296296297,0.012831878662109376,0.00904693603515625
30,Interrsect_01-073_3.nii.gz,0.35172413793103446,0.6981981981981982,1.4142135623730951,0.5363321799307958,0.02344818115234375,0.01753997802734375
31,Interrsect_01-104_3.nii.gz,0.05263157894736842,0.3645320197044335,3.1054804791094477,0.22289156626506024,0.0305085010149479,0.0070262002337455765
32,Interrsect_01-220_3.nii.gz,0.23008849557522124,0.8220858895705522,1.0,0.6979166666666666,0.02181937626447212,0.019296905020024475
33,Interrsect_01-231_3.nii.gz,0.4041421356237309,0.762063227953411,1.4142135623730951,0.6155913978494624,0.04023341634893992,0.03556684454671178
34,Interrsect_01-263_4.nii.gz,0.3287671232876712,0.6699029126213593,1.4142135623730951,0.5036496350364964,0.014630333217796334,0.011351120600014397
35,Interrsect_01-311_3.nii.gz,0.55990469539782,0.7441860465116279,1.4142135623730951,0.5925925925925926,0.02699044231558979,0.03808931579115942
36,Prove-It-01-070_4.nii.gz,0.5458856224034516,0.6609294320137694,2.8284271247461903,0.493573264781491,0.043386505404499474,0.029891284246704578
37,Prove-It-01-128_4.nii.gz,0.4905368729262614,0.589018302828619,2.449489742783178,0.41745283018867924,0.04855757145561714,0.027242689440034554
38,Prove-It-01-174_4.nii.gz,0.4884500582122244,0.58,1.4142135623730951,0.4084507042253521,0.013873591844462041,0.011351120600014397
39,Prove-It-01-190_3.nii.gz,0.0,0.022222222222222223,6.55699513955933,0.011235955056179775,0.03591999052093445,0.000403595399111623
40,Prove-It-01-194_3.nii.gz,0.2916666666666667,0.5833333333333334,5.9748239349298835,0.4117647058823529,0.019423028582246857,0.010846626351124869
41,Prove-It-01-198_3.nii.gz,1.1420405246981025,0.6134185303514377,2.23606797749979,0.4423963133640553,0.02598145381781073,0.05297189613340052
42,Prove-It-01-276_3.nii.gz,0.3452240774992748,0.7505070993914807,1.0,0.6006493506493507,0.0346839796111551,0.02749493656447932
43,Prove-It-01-434_3.nii.gz,0.7899586037183628,0.36449704142011835,7.1760987937272676,0.22286541244573083,0.0871513814956661,0.019423028582246857
44,Prove-It-02-021_3.nii.gz,NA,NA,NA,NA,NA,NA
45,qc11_da_3.nii.gz,1.67741585037433,0.033707865168539325,5.916079783099616,0.017142857142857144,0.04414324677783377,0.0007567413733342932
46,qc17_msk_3.nii.gz,0.8518010184593109,0.6486486486486487,1.4142135623730951,0.48,0.023332859011140704,0.03733257441782513
47,qc17_msk_4.nii.gz,5.630832300225221,0.5421994884910486,15.0,0.3719298245614035,0.023585106135585468,0.025729206693365966
48,qc18_mm_3.nii.gz,3.0167091555806578,0.593167701863354,9.273618495495704,0.4216335540838852,0.033674991113376046,0.047548582957838086
49,qc20_sdd_3.nii.gz,0.6344224999279667,0.7922297297297297,1.4142135623730951,0.6559440559440559,0.06507975810674921,0.08425053956455131
50,qc21_tll_4.nii.gz,0.31926082654351795,0.758364312267658,1.0,0.6107784431137725,0.019170781457802093,0.014756456780018716
51,qc23_vrp_3.nii.gz,0.3303681166931419,0.7775175644028103,1.799038105676658,0.6360153256704981,0.02749493656447932,0.026359824504477877
52,qc24_wje_3.nii.gz,0.39922095354601494,0.8556789069171649,1.0,0.7477611940298508,0.06999857703342212,0.07769211432898743
53,qc25_wsl_3.nii.gz,0.6084983227648807,0.7388781431334622,1.6684833585297243,0.5858895705521472,0.02661207162892264,0.03859381004004895
54,qc25_wsl_4.nii.gz,1.5266718052009376,0.3013698630136986,3.0,0.1774193548387097,0.007819660857787696,0.019801399268914003
55,qc3_amc_3.nii.gz,0.0,0.015810276679841896,10.425838872118197,0.00796812749003984,0.03165701411781793,0.0002522471244447644
56,qc4_bjk_3.nii.gz,0.7947504843894414,0.7222222222222222,1.4142135623730951,0.5652173913043478,0.009459267166678664,0.008702525793344372
57,quicker_qc14_jc_3.nii.gz,0.6808163566694242,0.5928571428571429,3.0,0.4213197969543147,0.01967527570669162,0.015639321715575392
58,quicker_qc2_aom_3.nii.gz,0.4118117992764057,0.41042345276872966,4.58257569495584,0.2581967213114754,0.029765160684482195,0.008954772917789136
59,quicker_qc2_aom_4.nii.gz,0.6280358034134577,0.6905829596412556,1.4142135623730951,0.5273972602739726,0.024972465320031674,0.031278643431150784
60,quicker_qc5_bnc_3.nii.gz,0.2972972972972973,0.6146341463414634,2.449489742783178,0.44366197183098594,0.015765445277797774,0.010089884977790575
